time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
83,3.29776e-34,-8.99698e-21,2.48921e-22,3.66683e-10,9.96143e-21,1.6605e-05,5.34705e-52,5.8104e-12,6.79569e-49,8.75009e-21,3.71761e-10,8.26018e-41
84,3.29723e-34,-1.06662e-20,2.94937e-22,3.68422e-10,9.96122e-21,1.6605e-05,4.94405e-52,5.99815e-12,6.95882e-49,1.03735e-20,3.78801e-10,8.35896e-41
85,3.29671e-34,-1.24795e-20,3.44922e-22,3.70128e-10,9.961e-21,1.6605e-05,4.49444e-52,6.18944e-12,7.12387e-49,1.21371e-20,3.8587e-10,8.45772e-41
86,3.29618e-34,-1.44369e-20,3.98879e-22,3.71801e-10,9.96076e-21,1.6605e-05,3.99822e-52,6.38427e-12,7.29082e-49,1.40407e-20,3.92969e-10,8.55647e-41
87,3.29565e-34,-1.65383e-20,4.56805e-22,3.73441e-10,9.96049e-21,1.6605e-05,3.45539e-52,6.58266e-12,7.45968e-49,1.60845e-20,4.00097e-10,8.6552e-41
88,3.29512e-34,-1.87838e-20,5.18702e-22,3.75048e-10,9.96022e-21,1.6605e-05,2.86595e-52,6.78459e-12,7.63044e-49,1.82684e-20,4.07255e-10,8.75391e-41
89,3.2946e-34,-2.11734e-20,5.8457e-22,3.76622e-10,9.95992e-21,1.6605e-05,2.22991e-52,6.99007e-12,7.80311e-49,2.05923e-20,4.14442e-10,8.8526e-41
90,3.29407e-34,-2.3707e-20,6.54407e-22,3.78164e-10,9.95961e-21,1.6605e-05,1.54726e-52,7.19909e-12,7.97769e-49,2.30564e-20,4.21659e-10,8.95128e-41
91,3.29354e-34,-2.63847e-20,7.28216e-22,3.79672e-10,9.95928e-21,1.6605e-05,8.18005e-53,7.41167e-12,8.15418e-49,2.56606e-20,4.28904e-10,9.04994e-41
92,3.29302e-34,-2.92064e-20,8.05995e-22,3.81147e-10,9.95894e-21,1.6605e-05,4.21403e-54,7.62779e-12,8.33257e-49,2.8405e-20,4.3618e-10,9.14858e-41
93,3.29249e-34,-3.21722e-20,8.87744e-22,3.82589e-10,9.95857e-21,1.66049e-05,-7.80332e-53,7.84746e-12,8.51287e-49,3.12894e-20,4.43484e-10,9.2472e-41
94,3.29196e-34,-3.52821e-20,9.73463e-22,3.83999e-10,9.95819e-21,1.66049e-05,-1.64941e-52,8.07067e-12,8.69508e-49,3.43139e-20,4.50818e-10,9.34581e-41
95,3.29144e-34,-3.8536e-20,1.06315e-21,3.85375e-10,9.95779e-21,1.66049e-05,-2.5651e-52,8.29743e-12,8.8792e-49,3.74786e-20,4.58182e-10,9.4444e-41
96,3.29091e-34,-4.19341e-20,1.15681e-21,3.86719e-10,9.95738e-21,1.66049e-05,-3.52739e-52,8.52774e-12,9.06522e-49,4.07833e-20,4.65574e-10,9.54297e-41
97,3.29038e-34,-4.54761e-20,1.25445e-21,3.8803e-10,9.95695e-21,1.66049e-05,-4.5363e-52,8.7616e-12,9.25315e-49,4.42282e-20,4.72997e-10,9.64152e-41
98,3.28986e-34,-4.91623e-20,1.35605e-21,3.89307e-10,9.9565e-21,1.66049e-05,-5.59181e-52,8.99901e-12,9.44299e-49,4.78132e-20,4.80448e-10,9.74006e-41
99,3.28933e-34,-5.29924e-20,1.46162e-21,3.90552e-10,9.95603e-21,1.66049e-05,-6.69392e-52,9.23996e-12,9.63473e-49,5.15383e-20,4.87929e-10,9.83858e-41
100,3.2888e-34,-5.69667e-20,1.57116e-21,3.91764e-10,9.95555e-21,1.66049e-05,-7.84265e-52,9.48446e-12,9.82839e-49,5.54035e-20,4.9544e-10,9.93708e-41
