time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
53,3.33371e-32,-4.89673e-21,4.73335e-21,4.75257e-11,4.95783e-21,1.66057e-05,6.50916e-38,8.36048e-18,-1.1631e-35,5.16489e-21,1.01967e-17,4.6081e-35
54,3.33356e-32,-4.69018e-21,4.78924e-21,4.84224e-11,4.89269e-21,1.66057e-05,5.57426e-38,8.63102e-18,-9.95686e-36,4.96774e-21,1.06688e-17,4.49378e-35
55,3.33341e-32,-4.00701e-21,4.84428e-21,4.93191e-11,4.8283e-21,1.66057e-05,3.54062e-38,8.95622e-18,-6.31589e-36,4.29447e-21,1.10631e-17,4.19734e-35
56,3.33325e-32,-2.84725e-21,4.89845e-21,5.02158e-11,4.76468e-21,1.66057e-05,4.08224e-39,9.33609e-18,-7.08133e-37,3.14506e-21,1.13796e-17,3.71879e-35
57,3.3331e-32,-1.21087e-21,4.95177e-21,5.11125e-11,4.70182e-21,1.66057e-05,-3.82292e-38,9.77061e-18,6.86641e-36,1.51953e-21,1.16181e-17,3.05812e-35
58,3.33295e-32,9.02113e-22,5.00423e-21,5.20092e-11,4.63972e-21,1.66057e-05,-9.1528e-38,1.02598e-17,1.64077e-35,-5.82128e-22,1.17788e-17,2.21533e-35
59,3.33279e-32,3.4917e-21,5.05583e-21,5.29059e-11,4.57838e-21,1.66057e-05,-1.55814e-37,1.08036e-17,2.79159e-35,-3.15992e-21,1.18615e-17,1.19043e-35
60,3.33264e-32,6.5579e-21,5.10657e-21,5.38026e-11,4.5178e-21,1.66057e-05,-2.31088e-37,1.14021e-17,4.13908e-35,-6.21383e-21,1.18664e-17,-1.65863e-37
61,3.33249e-32,1.01007e-20,5.15646e-21,5.46993e-11,4.45798e-21,1.66057e-05,-3.17349e-37,1.20553e-17,5.68324e-35,-9.74387e-21,1.17934e-17,-1.40572e-35
62,3.33233e-32,1.41201e-20,5.20548e-21,5.5596e-11,4.39892e-21,1.66057e-05,-4.14598e-37,1.27631e-17,7.42409e-35,-1.375e-20,1.16426e-17,-2.97697e-35
63,3.33218e-32,1.86161e-20,5.25365e-21,5.64927e-11,4.34062e-21,1.66057e-05,-5.22834e-37,1.35256e-17,9.36162e-35,-1.82323e-20,1.14138e-17,-4.73034e-35
64,3.33203e-32,2.35888e-20,5.30096e-21,5.73894e-11,4.28308e-21,1.66057e-05,-6.42058e-37,1.43427e-17,1.14958e-34,-2.31908e-20,1.11072e-17,-6.66582e-35
65,3.33187e-32,2.9038e-20,5.34741e-21,5.82862e-11,4.2263e-21,1.66057e-05,-7.72269e-37,1.52145e-17,1.38267e-34,-2.86253e-20,1.07227e-17,-8.78342e-35
66,3.33172e-32,3.49638e-20,5.393e-21,5.91829e-11,4.17029e-21,1.66057e-05,-9.13468e-37,1.6141e-17,1.63543e-34,-3.4536e-20,1.02603e-17,-1.10831e-34
67,3.33157e-32,4.13663e-20,5.43773e-21,6.00796e-11,4.11503e-21,1.66057e-05,-1.06565e-36,1.71221e-17,1.90785e-34,-4.09228e-20,9.72005e-18,-1.3565e-34
68,3.33141e-32,4.82453e-20,5.48161e-21,6.09763e-11,4.06054e-21,1.66057e-05,-1.22883e-36,1.81579e-17,2.19994e-34,-4.77858e-20,9.1019e-18,-1.62289e-34
69,3.33126e-32,5.5601e-20,5.52463e-21,6.1873e-11,4.0068e-21,1.66057e-05,-1.40299e-36,1.92483e-17,2.5117e-34,-5.51248e-20,8.40587e-18,-1.9075e-34
70,3.33111e-32,6.34332e-20,5.56679e-21,6.27697e-11,3.95383e-21,1.66057e-05,-1.58814e-36,2.03934e-17,2.84313e-34,-6.294e-20,7.63196e-18,-2.21032e-34
71,3.33095e-32,7.17421e-20,5.60809e-21,6.36664e-11,3.90161e-21,1.66057e-05,-1.78427e-36,2.15932e-17,3.19423e-34,-7.12314e-20,6.78017e-18,-2.53135e-34
72,3.3308e-32,8.05276e-20,5.64853e-21,6.45631e-11,3.85016e-21,1.66057e-05,-1.9914e-36,2.28476e-17,3.56499e-34,-7.99988e-20,5.8505e-18,-2.87059e-34
73,3.33065e-32,8.97897e-20,5.68811e-21,6.54598e-11,3.79946e-21,1.66057e-05,-2.20951e-36,2.41567e-17,3.95542e-34,-8.92424e-20,4.84295e-18,-3.22804e-34
74,3.33049e-32,9.95284e-20,5.72684e-21,6.63565e-11,3.74953e-21,1.66057e-05,-2.43861e-36,2.55204e-17,4.36552e-34,-9.89621e-20,3.75752e-18,-3.60371e-34
75,3.33034e-32,1.05021e-19,5.76493e-21,6.72532e-11,3.70018e-21,1.66057e-05,-2.48467e-36,2.68584e-17,4.44798e-34,-1.04439e-19,2.73474e-18,-3.67705e-34
76,3.33019e-32,8.1926e-20,5.80355e-21,6.81499e-11,3.6505e-21,1.66057e-05,-1.34753e-36,2.77563e-17,2.41249e-34,-8.13515e-20,2.49899e-18,-1.79578e-34
77,3.33003e-32,2.67848e-20,5.84285e-21,6.90467e-11,3.60035e-21,1.66057e-05,1.11485e-36,2.81552e-17,-1.99522e-34,-2.62435e-20,3.15317e-18,2.27477e-34
78,3.32988e-32,-6.04023e-20,5.88284e-21,6.99434e-11,3.54975e-21,1.66057e-05,4.90249e-36,2.80551e-17,-8.77516e-34,6.08844e-20,4.69728e-18,8.53462e-34
79,3.32973e-32,-1.79635e-19,5.92353e-21,7.08401e-11,3.49868e-21,1.66057e-05,1.00154e-35,2.7456e-17,-1.79273e-33,1.80032e-19,7.13131e-18,1.69838e-33
